招募日期,公司名稱,職稱,產業別,地區,工作內容,薪資,科系要求,學歷要求,招募網址,Python,MySQL,MongoDB,Linux,Django,TensorFlow,Docker
2020/06/10,"俊華電子企業股份有限公司(ENFORCER, SECO-LARM)","品管工程師,副工程師,各項技術員",消費性電子產品製造業,台北市信義區,"1. 電子原物料品質追踪管理
2. 供應商品質評鑑制度建立
3. 供應商品質合約推動
4. 供應商綠色供應鍊建立
5. 供應商自評表調查及統計
6. 協助提升供應商品質
7. 產線問題分析與對策
8. 上級交辦事項處理

◎ 應徵時請註明：應徵AL(Advance Level)或EL(Entry Level)。
AL：已有5-8年經驗者。起薪範圍是33,000~38,000元。
EL：沒有經驗或需受培訓者。起薪範圍在28,000~33,000元。","月薪28,000~38,000元","['電機電子工程相關', '工業工程相關']",專科、大學、碩士,https://www.104.com.tw/job/3i506,0,0,0,0,0,0,0
2020/06/10,昌昇實業有限公司,3.49噸/小貨車配送司機（月薪28000起）,其他商品批發業,台中市后里區,"1.貨物的包裝、盤點、裝卸、運送、搬運
2.裝卸貨物，將貨物送達定點，準時將貨物送達給客戶，簽收貨物單
3.清潔車輛，並進行例行性安全檢查
4.簡易車輛故障排除、車輛的定期檢查、保養與維修通知廠商、記錄保養與維修歷程
※.上班時間固定 ,週休二日 ,比照能力表現調整薪資","月薪28,000~30,000元",['不拘'],高中以上,https://www.104.com.tw/job/5xzyv,0,0,0,0,0,0,0
2020/06/10,亞東工業氣體股份有限公司,(技術) 轉動機械維修工程師 MAC / Compression Maintenance Engineer (北區),化學原料製造業,台中市梧棲區,"1.提供專業技能來協助運轉單位的設備維護保養相關活動
2.根據工廠預防保養計畫所列之機械相關維護保養工作項目制訂各項工作之作業計畫
3.負責機械相關設備維護保養活動(包括訂定計劃和執行)
4.為機械相關設備維護保養活動準備必要之”報價需求表”，尋找合格的承攬廠商澄清規格並取得報價單
5.根據工作作業計畫協助運轉單位執行並貫徹工作危害分析
6.持續監控各運轉工廠轉動機械之關鍵指標
7.依據AL指導方針和工業標準，協助設備維護保養作業的執行",待遇面議,"['電機電子工程相關', '工程學科類']",專科、大學、碩士,https://www.104.com.tw/job/6yr03,0,0,0,0,0,0,0
2020/06/10,昌昇實業有限公司,業務助理,其他商品批發業,台中市北屯區,"1.輸入、處理並追蹤客戶訂單，並將訂單資料存檔備份。 .
2. 核對輸入銷貨單及確認貨品的和規格及單價。 
3.定期進行請款作業對帳，並整理相關表單。
4.收發訂單、與客戶協調並安排出貨，並協助處理主管交辦事務。

","月薪25,000~28,000元",['不拘'],高中以上,https://www.104.com.tw/job/5xzyx,0,0,0,0,0,0,0
2020/06/10,"俊華電子企業股份有限公司(ENFORCER, SECO-LARM)",總務庶務人員,消費性電子產品製造業,台北市信義區,"1. 協助資料建檔、彙整及其他文書作業。
2. 修繕工程廠商發包並監驗。
3. 環境、設備維護作業，需具基礎水電、家具維修能力。
4. 處理廠區突發事件及其他廠務雜項作業。
5. 房屋管理及房屋設備資料建檔及歸檔。
6. 具有房屋、土地及停車位租賃經驗者佳。
7. 倉儲、貨運、用品採購等總務工作。
8. 執行專案及主管交辦事項。

◎ 應徵時請註明：應徵AL(Advance Level)或EL(Entry Level)。
AL：已有5-8年經驗者。起薪範圍是35,000~40,000元。
EL：沒有經驗或需受培訓者。起薪範圍在30,000~35,000元。
","月薪30,000~40,000元",['不拘'],專科以上,https://www.104.com.tw/job/6hou6,0,0,0,0,0,0,0
2020/06/10,亞東工業氣體股份有限公司,(技術) 機械工程師 Mechanical Engineer (台中梧棲),化學原料製造業,台中市梧棲區,"*Provide technical expertise to work with operation team on maintenance related activities 
提供專業技能來協助運轉單位的設備維護保養相關活動
*Define Level-1 mechanical maintenance procedures (SOP) for operation team and assist the maintenance if needed  訂定Leve-1的
機械相關設備維護保養程序(SOP)給運轉單位並提供必要的相關協助
*Lead Level-2&3 mechanical maintenance activities (including planning and implementation)  負責 Level-2及Level-3
機械相關設備維護保養活動(包括訂定計劃和執行)
*Create the job plan for mechanical maintenance according to the job list of preventative maintenance plan 
根據工廠預防保養計畫所列之機械相關維護保養工作項目制訂各項工作之作業計畫
*Prepare the necessary“Request for Quotation”for Level-2&3 mechanical maintenance activities,  find the qualified contractor to clarify the specification and get the quotation. 為Level-2及Level-3
機械相關設備維護保養活動準備必要之”報價需求表”，尋找合格的承攬廠商澄清規格並取得報價單
*Work with operation team to perform and follow up the JHA according to the job plan. 
根據工作作業計畫協助運轉單位執行並貫徹工作危害分析
Continuously monitor the key indicators for operation sites 持續監控各廠之關鍵指標
*Assist to perform maintenance activities following AL guidelines and industrial standards 
依據AL指導方針和工業標準，協助設備維護保養作業的執行


",待遇面議,"['機械工程相關', '機械維護相關', '電機電子工程相關']",專科、大學、碩士,https://www.104.com.tw/job/6yj0d,0,0,0,0,0,0,0
2020/06/10,"俊華電子企業股份有限公司(ENFORCER, SECO-LARM)",資訊 MIS 助理工程師,消費性電子產品製造業,台北市信義區,"◎ 履歷請註明：應徵AL(Advance Level)或EL(Entry Level)。
AL：已有5-8年經驗者。起薪範圍是37,000~42,000元。
EL：沒有經驗或需受培訓者。起薪範圍在28,000~33,000元。

1. 使用者電腦硬體維護及故障排除。
2. 協助Server管理及備份。
3. 執行公司交辦事項。
4. 能ERP系統維護者佳。
5. 熟悉IT知識、3C等相關產品，以及具備區域及廣域網路基本概念，IP分享器、防火牆等網路設備概念者佳。
6. 熟悉Windows及Office設定、安裝及障礙排除能力。
7. 擁有基本網站建置及資訊安全相關知識或經驗。
8. 協助維護網路及電話設備的正常運作及故障排除。
9. 具備基礎相關證照者佳。","月薪28,000元以上","['資訊工程相關', '資訊管理相關']",專科以上,https://www.104.com.tw/job/6xqlc,0,0,0,0,0,0,0
2020/06/10,Home Hotel_逸寬股份有限公司,Al sorriso義式料理-外場早班服務生(大安館),旅館業,台北市大安區,"1.西餐桌邊服務.
2.早午餐前置作業及善後處理.
3.領檯作業 :訂位.帶位.
4.上班時間06:00~14:30
5.提供早班津貼.","月薪28,000~30,000元",['不拘'],高中、專科、大學,https://www.104.com.tw/job/5u512,0,0,0,0,0,0,0
2020/06/10,Home Hotel_逸寬股份有限公司,Al sorriso義式料理-外場早班領班(大安館),旅館業,台北市大安區,"1.開門班前置作業.
2.早餐前置作業及桌邊服務.
3.人力管理及調度安排. 
4.主管交辦事項及主管職務代理人.
5.具有西餐資深服務員或領班相關經驗.
6.早班津貼.
","月薪31,000~33,000元",['不拘'],專科、大學,https://www.104.com.tw/job/68y3b,0,0,0,0,0,0,0
2020/06/10,Home Hotel_逸寬股份有限公司,Al sorriso義式料理-早班內場廚師(大安館),旅館業,台北市大安區,"1.早餐備料前置作業.
2.早餐結束後善後處理.
3.具有西式廚師經驗.
4.主管交辦事項.
5.上班時間05:30~14:00.
6.早班津貼.
","月薪30,000~32,000元",['不拘'],高中以下、高中、專科、大學,https://www.104.com.tw/job/6nr6z,0,0,0,0,0,0,0
