網址,公司名稱,職稱,工作內容,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,工作經歷,學歷要求,科系要求,語言條件,工作技能
https://www.104.com.tw/company/5whs7lk,宜誠資訊股份有限公司,MIS資訊人員(龍潭區),工作內容： 1. 電腦系統軟硬體設備安裝。 2. 資訊系統和設備相關維護。 3. 資訊問題判斷與異常排除。 4. 其他主管交辦事項。 5.駐點公家單位,"月薪32,000~38,000元",全職,桃園市龍潭區,不需負擔管理責任,需外派，一年累積時間未定,日班，08:00~17:00,週休二日,不限,1人,2年以上,專科,"['資訊管理相關', '資訊工程相關', '工業工程相關']",無要求,伺服器網站管理維護、作業系統基本操作、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、網路系統配置、網路架設佈線
https://www.104.com.tw/company/7rc6s7s,仁大資訊股份有限公司,駐點資訊工程師/中科,1.資訊設備系統軟體安裝、設定、佈署、更新。 2.系統防毒、掃毒作業。 3.主管交辦事項。 *** 本職務約聘一年，歡迎待業青年累積工作經驗 ***,"月薪26,500~28,000元",全職,台中市西屯區依實際分配地點而定,不需負擔管理責任,無需出差外派,日班，08:30-17:30,週休二日,兩週內,1~2人,不拘,專科、大學,"['資訊工程相關', '資訊管理相關']",無要求,無要求
https://www.104.com.tw/company/2byd7nl,資策會_財團法人資訊工業策進會,【資訊處】資訊安全管理工程師,"1.ISO27001管理及資產盤點、年度稽核作業
2.擬訂工作流程標準化與作業規範優化，並撰寫相關文件
3.全會資安推動、異常事件通報及處理
4.資訊安全專案推動
5.資訊安全管理平台維運",待遇面議,全職,台北市大安區和平東路二段106號10樓,不需負擔管理責任,無需出差外派,日班，09:00~18:00,週休二日,一個月內,1人,3年以上,大學、碩士,"['資訊工程相關', '資訊管理相關', '通信學類']",英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,無要求
https://www.104.com.tw/company/7rc6s7s,仁大資訊股份有限公司,駐點資訊工程師/竹科,1.資訊設備系統軟體安裝、設定、佈署、更新。 2.電腦基礎安裝設定、測試。 3.主管交辦事項。 *** 本職務約聘一年，歡迎待業人士累積工作經驗 ***,"月薪26,500~28,000元",全職,新竹市依實際分配地點而定,不需負擔管理責任,無需出差外派,日班，08:30-17:30,週休二日,兩週內,1~2人,不拘,專科、大學,"['資訊工程相關', '資訊管理相關']",無要求,無要求
https://www.104.com.tw/company/wbpdue0,碩網資訊股份有限公司,資訊安全工程師,1. 資安事件相關調查作業/分析處理，資安事故緊急應變處理 2. 內部/外部威脅分析處理，分析漏洞並提供修補方案 3. 制定資安相關規範及成效檢核 4. 依照資安法令進行風險評估，並彙整執行情況 5. 資安組織運作、資訊系統BCP規劃及事故應變管理 6. 需具備相關資安證照（擇一即可）,待遇面議,全職,新北市新店區北新路一段293號4樓之5,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,不拘,大學以上,"['資訊工程相關', '資訊管理相關']",無要求,無要求
https://www.104.com.tw/company/13ulbhc0,美芝城實業股份有限公司,資訊專員,1.ERP系統維護 2.基礎資訊、網路架構管理 3.電腦硬體維護(異常排除及系統安裝) 4.配合專案規劃進行軟、硬體功能測試與環境建置 5.資訊相關設備評估及採購作業 6.資訊設備、周邊、庶物等管理 7.主管交辦事項,"月薪30,000~35,000元",全職,台南市南區彰南里新平路7之1號,不需負擔管理責任,無需出差外派,日班,週休二日,一週內,1人,2年以上,大學以上,"['資訊管理相關', '資訊工程相關']",無要求,伺服器網站管理維護、作業系統基本操作、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、系統架構規劃與維護、軟硬體設備預算與採買規劃、安裝與維護網路安全系統、規劃與管理入侵防護系統（IPS）、規劃與管理防火牆、規劃與管理網路入侵檢測系統（NIDS）、網路系統配置、網路架設佈線
https://www.104.com.tw/company/1577mmkg,典匠資訊股份有限公司,資訊人員,1. 公司內部電腦故障排除、設備使用故障排除。 2. 內部管理系統維護及設定。 3. 習慣部門團隊合作並與其他部門溝通協調工作事項。 4. 伺服器維護及調校：熟悉 CentOS 操作者佳。 5. 其他主管交辦事項（包含行政事務）,"月薪28,000~33,000元",全職,台北市大安區信義路四段380號8樓之一,不需負擔管理責任,無需出差外派,日班,週休二日,兩週內,1人,1年以上,專科、大學、碩士,"['資訊工程相關', '資訊管理相關']",英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,無要求
https://www.104.com.tw/company/1a2x6bj1eg,台灣奧佳華國際有限公司,資訊人員,1. 辦公室電腦及櫃位電腦問題排除與管理。  2. 電信、網路監控、與機房設備管理。  3. 電腦系統權限設定以及新進員工E-MAIL設定 。 4. 資訊設備資產與廠商管理。  5. 百貨櫃位進、撤櫃網路資訊設備管理。 6. 需具流通零售業相關經驗3年以上。,"月薪38,000~48,000元",全職,新北市板橋區三民路二段37號9樓之1,不需負擔管理責任,無需出差外派,日班，09:00-18:00,週休二日,一週內,1人,3年以上,大學以上,"['資訊管理相關', '資訊工程相關']",無要求,作業系統基本操作、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、系統維護操作、系統整合分析、安裝與維護網路安全系統、規劃與管理防火牆、設計網路安全系統、網路系統危機管理、網路系統配置、網路元件安裝及管理、網路規劃管理、網路設備設定安裝、文書處理軟體操作
https://www.104.com.tw/company/13to0jao,菁華工業股份有限公司,資訊工程師,使用者電腦、有線和無線網路設定管理 使用者資安相關軟硬體設置 資訊相關設備採買與架設 虛擬化架構規劃與維護 儲存應用以及備份維護 網路及系統架構規劃與維運 資料庫維護與備份回復運用 其他內部客戶資訊服務提供,"月薪32,000~38,000元",全職,台北市內湖區瑞光路258巷2號9樓,不需負擔管理責任,無需出差外派,日班，09:00~18:00,週休二日,一週內,1人,2年以上,專科、大學、碩士,"['資訊管理相關', '資訊工程相關']",英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,伺服器網站管理維護、作業系統基本操作、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、資料庫系統管理維護、安裝與維護網路安全系統、規劃與管理防火牆、網路系統配置、網路應用軟體操作、文書處理軟體操作
https://www.104.com.tw/company/13kjqgog,三竹資訊股份有限公司,資訊源研發工程師,資料報價系統開發 1.負責即時報價系統軟體之分析、設計以及程式撰寫。 2.規劃執行即時報價系統軟體架構及模組之設計，並控管軟體設計進度。 3.進行軟體之測試與修改。 4.規劃、執行與維護量產的產品。 5.協助研發軟體新技術與新工具。 6.熟C/C++語言以及具有視窗程式開發經驗者佳。,待遇面議,全職,台北市中山區新生北路二段39號11F,不需負擔管理責任,無需出差外派,日班，08:30~18:00,週休二日,可年後上班,2~4人,不拘,大學以上,"['數學及電算機科學學科類', '資訊工程相關']",英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,無要求
https://www.104.com.tw/company/a5horfc,星通資訊股份有限公司,資訊技術工讀生,"1.管理會議室電腦 2.協助MIS整線 3.文件處理(請採購驗收單, 電腦資產移轉) 4.軟硬腦資產管理 5.報廢硬體整理處置",時薪158~170元,兼職 - 長期工讀,新竹市新安路8號6樓(300),,,日班,依公司規定,一個月內,1人,不拘,大學、碩士,"['資訊工程相關', '資訊管理相關']",無要求,無要求
https://www.104.com.tw/company/12naj85c,東碩資訊股份有限公司,資訊主管(副理級),1.部門管理 2.資料庫軟體應用能力 3.系統分析/設計 4.軟體整合測試 5.程式偵錯、修改與維護 6.系統異常問題處理 7.處理突發狀況 8.工廠製造相關的資訊系統開發、管理及維護 9.主管交辦工作,待遇面議,全職,新北市汐止區,管理4人以下,需出差，一年累積時間未定,日班,依公司規定,不限,1人,5年以上,專科、大學、碩士,"['資訊管理相關', '資訊工程相關']",英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,無要求
https://www.104.com.tw/company/wf0uhow,安碁資訊股份有限公司,【IT】資訊安全顧問-2000340,1. 資訊安全顧問：主要協助客戶建立資訊安全、個人資料保護等相關管理制度，以符合相關標準要求。 2. 負責資訊安全與個資保護相關稽核或遵循性確認。 3. 協助資訊安全與個資保護教育訓練。包含：課程規劃、活動場地與講師安排、講義準備、課程講授等,待遇面議,全職,台北市信義區,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班,依公司規定,一個月內,1人,3年以上,大學、碩士,"['資訊管理相關', '資訊工程相關']",英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,無要求
https://www.104.com.tw/company/12v3o7uw,104人力銀行_一零四資訊科技股份有限公司,資深資訊工程師,"1.維運管理、事故回應追蹤、使用者IT需求協助
2.個人資訊設備維護(Help Desk)，如: PC, Notebook, MAC
3.資訊設備庫存管理
4.自動化維運腳本撰寫
5.Linux、Windows Server 操作管理，網路故障排除",待遇面議,全職,新北市新店區寶中路119號3樓(231),不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，09:00~18:00,依公司規定,一個月內,1人,3年以上,專科、大學、碩士,無要求,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,無要求
https://www.104.com.tw/company/cqcrfnk,昕力資訊股份有限公司,資訊管理專員,"【Job Responsibilities】
1. 與使用者和管理階層溝通，評估系統修改及新系統建立之可行性。
2. 協助規劃系統新功能與新系統導入時進行系統測試。
3. 維護ERP系統，確保資料的正確運作，包含各項問題提報維修或異常排除測試。
4. 提供系統使用者操作的教育訓練，建立使用手冊及程序。
5. 瞭解各使用單位對資訊服務的需求，並建議最佳作業方式。
6. ERP系統與新功能流程的整合、協調、優化及跨部門的溝通等工作，確保系統順暢地運行
7. 支援行政工作及主管交辦事項","時薪30,000~60,000元",全職,台北市內湖區,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,2年以上,專科以上,無要求,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,無要求
https://www.104.com.tw/company/1a2x6bl31r,長宬資訊股份有限公司,金門航空站-資訊維護工程人員,1.航站內伺服器、電腦及週邊、行政網路系統、電子公文及交換系統日常操作維護。 2.監控系統、網路系統、門禁系統、緊急求救系統、廣播系統等日常操作維護。 3.協助航站單位監控設備調覽、維護、查修及調校與清潔。 4.飛航顯示系統日常維護及檢查。 5.配合航站業務更新網站圖片及資料庫。,"月薪43,000元",全職,金門縣金湖鎮金門航空站,不需負擔管理責任,需外派，一年累積時間約七個月以上,日班/晚班/假日班，需輪班,依公司規定,兩週內,1~3人,不拘,專科以上,"['資訊工程相關', '其他數學及電算機科學相關', '電機電子維護相關']",無要求,伺服器網站管理維護、作業系統基本操作、電腦設備裝配、資訊設備環境設定、網路資料傳輸、資料通訊與網路應用、安裝與維護網路安全系統、網路系統配置、網路規劃管理、文書處理軟體操作、簡報軟體操作
https://www.104.com.tw/company/aaw6y4o,揚全股份有限公司,IT 資訊專員,"歡迎無經驗,有興趣、且期望培訓之人員! 此職位可培訓,公司會階段性規劃、長久培訓發展  主要: 1.維護ERP系統，保持系統正常運作並進行除錯 2.依照使用者的各項問題進行蒐集並提出解決 3.回報所維護之軟、硬體問題，並偕同相關人員進行處理 4.熟悉ERP系統: 天心資訊 5.協助集團各單位系統維護與使用 (出差)","月薪30,000~40,000元",全職,新北市深坑區北深路三段270巷12號5樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,依公司規定,不限,1人,不拘,專科、大學,"['資訊工程相關', '電機電子工程相關']",無要求,企業資源規劃管理(ERP)、系統架構規劃與維護
https://www.104.com.tw/company/7rc6s7s,仁大資訊股份有限公司,外勤資訊工程師(高雄),"1.資訊周邊設備點檢維護。 2.Printer, PC, 相關資訊設備障礙排除。 3.系統升級、防毒設定、網路設置。 4.區域內客戶端技術服務、專案執行。 5.主管交辦事項。 自備機車,需跑外勤，有油資補助負責大高雄地區客戶端資訊設備維修服務. ","月薪25,000~30,000元",全職,高雄市前鎮區一心一路241號,不需負擔管理責任,無需出差外派,日班，08:30~17:30,依公司規定,兩週內,1~2人,1年以上,高中、專科、大學,無要求,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,無要求
https://www.104.com.tw/company/1a2x6bkp00,醫療財團法人好心肝基金會好心肝診所,資訊人員,1.臨床醫療資訊應用開發 2.創新醫療IT應用研發 ,"月薪50,000~120,000元",全職,台北市中正區公園路30-1號7樓(肝病防治學術基金會),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1~2人,2年以上,大學、碩士,['資訊工程相關'],無要求,無要求
